Feature_1,Feature_2,Target
0.761,-0.462,0
0.008,0.801,1
-0.776,0.149,1
-1.019,-0.227,0
0.536,-0.504,1
-0.677,0.416,1
0.621,-0.785,0
0.856,-0.594,0
0.941,-0.151,0
-0.164,1.012,0
-0.674,-0.667,0
-0.329,0.814,1
0.91,0.391,0
1.082,-0.21,0
-0.689,0.382,1
-0.56,-0.558,1
-0.697,-0.372,1
-0.881,-0.589,0
0.999,-0.014,0
-0.995,-0.306,0
-0.684,0.167,1
-0.257,0.754,1
-0.594,0.529,1
0.793,-0.306,1
0.813,-0.064,1
-0.467,0.646,1
0.769,-0.06,1
-0.677,0.3,1
0.458,-0.881,0
-0.704,-0.726,0
-0.368,-0.792,1
-0.789,-0.014,1
-0.662,-0.461,1
-0.682,0.741,0
-0.956,-0.27,0
0.339,0.709,1
-0.724,0.717,0
-0.772,-0.659,0
0.736,-0.435,1
0.215,-1.008,0
0.782,-0.627,0
1.011,-0.504,0
-0.488,0.642,1
-0.476,-0.8,0
0.742,0.708,0
0.014,-0.799,1
0.165,-1.009,0
0.952,-0.111,0
-0.688,-0.685,0
-0.505,0.818,0
-0.549,0.634,1
-0.543,0.812,0
0.131,-1.017,0
-0.461,0.703,1
-0.373,0.639,1
-0.757,-0.085,1
0.997,-0.238,0
0.584,-0.591,1
-0.513,0.449,1
0.577,-0.785,0
0.527,0.675,1
0.958,0.131,0
0.266,-0.959,0
-0.48,-0.927,0
0.558,-0.539,1
-0.845,0.174,0
-0.49,-0.561,1
0.522,-0.747,0
-0.82,0.633,0
0.152,0.835,1
-0.547,0.608,1
-0.802,0.074,1
0.815,-0.005,1
0.726,0.591,0
-0.523,0.548,1
1.035,0.202,0
0.336,-0.824,1
-0.72,-0.38,1
0.439,-0.551,1
0.953,0.25,0
-0.187,-0.897,1
0.679,-0.432,1
0.975,-0.234,0
0.989,-0.324,0
0.667,0.248,1
0.744,-0.307,1
0.956,-0.173,0
-0.81,-0.686,0
0.656,-0.235,1
-0.625,0.699,0
0.323,1.015,0
-0.161,-0.707,1
0.141,0.981,0
0.417,-0.647,1
-0.317,-0.989,0
0.413,0.688,1
-0.82,-0.483,0
-0.306,-0.731,1
-0.165,-0.83,1
0.942,-0.309,0
-0.004,0.754,1
-0.179,-0.731,1
0.318,0.778,1
-0.947,0.064,0
0.725,0.175,1
-0.984,-0.165,0
0.668,0.786,0
0.392,1.021,0
0.716,-0.365,1
-0.979,0.306,0
0.452,-0.896,0
0.812,0.641,0
0.627,0.645,1
0.335,-0.753,1
0.166,0.768,1
0.729,0.743,0
-0.391,-0.612,1
0.74,0.373,1
0.591,-0.546,1
-0.511,-0.52,1
-0.618,-0.742,0
0.499,0.709,1
-0.64,0.839,0
-0.753,0.676,0
0.968,-0.354,0
0.556,-0.444,1
0.179,-1.047,0
-0.945,-0.199,0
0.982,-0.103,0
-0.403,-0.874,0
0.243,0.732,1
-0.938,-0.486,0
-0.295,-1.078,0
0.637,0.335,1
0.154,0.745,1
-0.533,0.915,0
-0.11,0.801,1
-0.912,0.532,0
-1.011,0.221,0
-0.853,0.537,0
0.299,-0.804,1
-0.448,0.946,0
-0.675,0.753,0
0.135,-1.063,0
-0.238,0.95,0
0.7,0.775,0
-0.435,0.914,0
-0.321,0.859,0
0.764,-0.083,1
0.326,-0.638,1
-0.807,-0.364,1
0.417,-0.982,0
0.878,0.434,0
0.037,0.835,1
-0.068,0.698,1
0.155,0.752,1
0.79,-0.323,1
-0.716,-0.769,0
0.361,1.002,0
-0.874,0.107,1
0.586,0.753,0
-0.73,-0.495,0
-0.643,0.505,1
0.518,-0.921,0
0.426,-0.561,1
-0.972,-0.514,0
-0.292,-0.918,0
0.333,0.764,1
-0.479,-0.837,0
0.772,0.034,1
0.365,0.882,0
-0.348,-0.943,0
-0.934,-0.34,0
-0.201,0.718,1
0.303,0.759,1
0.85,0.333,0
-0.762,0.244,1
0.775,0.088,1
0.001,-0.925,0
0.08,0.82,1
0.705,-0.717,0
-0.132,1.012,0
-0.405,-0.73,1
0.012,0.793,1
0.428,0.6,1
-0.945,0.197,0
1.061,0.243,0
-0.63,0.951,0
0.682,0.368,1
0.465,-0.725,1
0.045,-0.965,0
0.903,0.428,0
-0.459,-0.829,0
-0.894,0.347,0
-0.958,0.17,0
-0.853,-0.538,0
-0.977,0.252,0
0.579,-0.751,0
-0.364,-0.751,1
0.836,0.786,0
-0.49,0.572,1
0.025,-1.043,0
0.622,-0.501,1
0.948,0.428,0
-0.765,-0.252,1
-0.301,0.711,1
0.458,0.619,1
0.478,-0.586,1
0.221,0.781,1
-0.071,-0.851,1
0.798,0.078,1
0.92,-0.212,0
-0.932,-0.019,0
-0.635,0.377,1
0.722,-0.465,1
-0.385,-0.707,1
-0.708,0.298,1
-0.74,-0.319,1
0.99,-0.064,0
-0.681,0.72,0
0.556,0.883,0
0.485,0.81,0
-0.504,0.901,0
0.25,0.927,0
0.651,0.456,1
0.573,0.576,1
-0.658,0.371,1
0.945,0.285,0
0.907,0.335,0
0.016,1.003,0
0.798,0.201,1
-0.907,-0.199,0
0.362,-0.739,1
0.15,-0.789,1
0.977,0.034,0
0.168,-0.936,0
0.372,0.699,1
0.713,0.505,1
-0.628,0.521,1
-0.963,-0.002,0
0.999,-0.296,0
0.395,-0.723,1
-0.974,0.051,0
-0.086,0.758,1
0.662,0.39,1
0.729,0.458,1
-0.683,-0.782,0
-0.105,-0.813,1
-0.784,-0.113,1
