seed	train_num	n_trials	0_succeeded	1_import_error	2_predict_method_error
3655	10	30	9	20	1
3655	20	30	10	20	0
3655	30	30	11	19	0
3655	40	30	1	29	0
3655	50	30	2	28	0
3655	100	30	0	30	0
3655	200	30	0	30	0
3655	300	30	11	19	0
3656	10	30	27	3	0
3656	20	30	28	1	1
3656	30	30	21	6	3
3656	40	30	6	23	1
3656	50	30	20	7	3
3656	100	30	6	23	1
3656	200	30	1	26	3
3656	300	30	30	0	0
3657	10	30	17	12	1
3657	20	30	7	23	0
3657	30	30	12	17	1
3657	40	30	4	26	0
3657	50	30	0	29	1
3657	100	30	1	26	3
3657	200	30	0	30	0
3657	300	30	7	23	0
