seed	train_num	n_trials	n_succeeses	acc_mean	acc_min	acc_max	auc_mean	auc_min	auc_max
3655	10	30	9	0.5481666666666666	0.4467	0.9033	0.5481481481481482	0.44666666666666666	0.9033333333333333
3655	20	30	10	0.71631	0.4467	0.9033	0.7150488888888888	0.44666666666666666	0.9033333333333333
3655	30	30	11	0.7266636363636363	0.4467	0.9033	0.7383191919191919	0.44666666666666666	0.9148444444444445
3655	40	30	1	0.9033	0.9033	0.9033	0.9033333333333333	0.9033333333333333	0.9033333333333333
3655	50	30	2	0.53	0.4467	0.6133	0.53	0.44666666666666666	0.6133333333333333
3655	100	30	0						
3655	200	30	0						
3655	300	30	11	0.6987909090909091	0.4467	0.9033	0.722129292929293	0.44666666666666666	0.9148444444444445
3656	10	30	27	0.6627185185185185	0.5067	0.8633	0.7484205761316872	0.5401333333333334	0.961911111111111
3656	20	30	28	0.7164142857142857	0.4833	0.8233	0.8136666666666666	0.5401555555555555	0.9345555555555556
3656	30	30	21	0.6847619047619048	0.5	0.7933	0.7592814814814814	0.5401333333333334	0.9112
3656	40	30	6	0.7450000000000001	0.68	0.8233	0.8218481481481481	0.6799999999999999	0.9345555555555556
3656	50	30	20	0.70301	0.5067	0.8633	0.8126522222222222	0.5401333333333334	0.961911111111111
3656	100	30	6	0.62	0.32	0.68	0.62	0.32	0.6799999999999999
3656	200	30	1	0.84	0.84	0.84	0.9078666666666667	0.9078666666666667	0.9078666666666667
3656	300	30	30	0.7772433333333333	0.7567	0.84	0.8369681481481481	0.7566666666666666	0.9345555555555556
3657	10	30	17	0.646270588235294	0.4567	0.83	0.7513777777777778	0.5098666666666667	0.9517777777777778
3657	20	30	7	0.7447428571428573	0.5	0.8233	0.8702126984126984	0.6777111111111112	0.918088888888889
3657	30	30	12	0.7158166666666667	0.5	0.8233	0.7927555555555555	0.5674666666666667	0.918088888888889
3657	40	30	4	0.7783	0.7433	0.8233	0.8070222222222223	0.7433333333333334	0.918088888888889
3657	50	30	0						
3657	100	30	1	0.63	0.63	0.63	0.63	0.63	0.63
3657	200	30	0						
3657	300	30	7	0.7547428571428572	0.5	0.82	0.9220571428571428	0.8484	0.936
