seed	train_num	n_trials	0_succeeded	1_import_error	2_predict_method_error	3_invalid_pred_value
3655	10	30	13	9	3	5
3655	20	30	9	19	2	0
3655	30	30	8	7	13	2
3655	40	30	9	9	5	7
3655	50	30	2	27	0	1
3655	100	30	9	14	2	5
3655	200	30	21	0	1	8
3655	300	30	13	0	0	17
3656	10	30	0	30	0	0
3656	20	30	4	25	0	1
3656	30	30	3	26	0	1
3656	40	30	0	30	0	0
3656	50	30	0	29	1	0
3656	100	30	19	11	0	0
3656	200	30	20	6	2	2
3656	300	30	24	0	0	6
3657	10	30	0	30	0	0
3657	20	30	2	23	1	4
3657	30	30	0	30	0	0
3657	40	30	0	30	0	0
3657	50	30	0	30	0	0
3657	100	30	9	17	1	3
3657	200	30	22	0	0	8
3657	300	30	12	0	0	18
