seed	train_num	n_trials	n_succeeses	acc_mean	acc_min	acc_max	auc_mean	auc_min	auc_max
3655	10	30	13	0.6020461538461539	0.49	0.78	0.627308222245775	0.49424418863060576	0.854637983910396
3655	20	30	9	0.6677777777777778	0.49	0.8967	0.6944135788751105	0.5	0.9617094093070804
3655	30	30	8	0.4941875	0.49	0.4967	0.3173779945775368	0.21276501177830126	0.491732965909596
3655	40	30	9	0.4970444444444444	0.49	0.5033	0.4442666587650809	0.21276501177830126	0.5291790746255388
3655	50	30	2	0.5033	0.5033	0.5033	0.5252900128894618	0.5252900128894618	0.5252900128894618
3655	100	30	9	0.5596555555555556	0.4967	0.78	0.5841321342676958	0.5	0.8494155295790924
3655	200	30	21	0.7722142857142857	0.4967	0.9233	0.8378869748708407	0.5	0.9626872305435797
3655	300	30	13	0.7418	0.49	0.8567	0.7840707450245652	0.491732965909596	0.9143739721765413
3656	10	30	0						
3656	20	30	4	0.5667	0.4967	0.6367	0.6537234988221698	0.5947819903106805	0.7129205742477442
3656	30	30	3	0.6822333333333334	0.4967	0.9133	0.7903314221372802	0.6965865149562204	0.961998311036046
3656	40	30	0						
3656	50	30	0						
3656	100	30	19	0.5058157894736842	0.4933	0.6667	0.5478723030965119	0.326814525090004	0.7129205742477442
3656	200	30	20	0.63136	0.4967	0.7367	0.6912851682296991	0.623738832837015	0.8163029467976356
3656	300	30	24	0.6297458333333333	0.3667	0.7367	0.6393330444316043	0.36872749899995555	0.8163029467976355
3657	10	30	0						
3657	20	30	2	0.46	0.46	0.46	0.4591836734693878	0.4591836734693878	0.4591836734693878
3657	30	30	0						
3657	40	30	0						
3657	50	30	0						
3657	100	30	9	0.4526222222222222	0.4067	0.55	0.4660481476541234	0.37488328664799253	0.5710284113645459
3657	200	30	22	0.5162363636363637	0.4067	0.88	0.5774218778420459	0.37477213107465207	0.9424436441243164
3657	300	30	12	0.4439166666666667	0.4067	0.51	0.45698279311724693	0.37477213107465207	0.5710061802498777
