seed	train_num	model_name	status	comment	acc	auc	code
		text_27	SUCCEEDED	0_succeeded	0.7588	0.8465177371044941	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'astonishing', 'amazing', 'wonderful', 'great', 'good', 'love', 'best', 'favorite', 'recommend', 'enjoy', 'beautiful', 'charming', 'happy', 'fun', 'interesting', 'moving', 'insightful', 'riveting', 'captivating', 'powerful', 'strong', 'superb', 'brilliant', 'talented', 'impressive', 'incredible', 'fantastic', 'memorable', 'touching', 'heartfelt', 'emotional', 'engaging', 'entertaining', 'well-done', 'well-crafted', 'well-acted', 'well-written', 'well-directed', 'masterpiece', 'classic', 'must-see', 'highly']
        negative_words = ['awful', 'terrible', 'horrible', 'bad', 'worst', 'disappointing', 'boring', 'dull', 'uninteresting', 'forgettable', 'waste', 'lame', 'stupid', 'ridiculous', 'poor', 'weak', 'uninspired', 'unoriginal', 'predictable', 'cliché', 'pointless', 'lousy', 'crappy', 'garbage', 'trash', 'disaster', 'flop', 'failure', 'mediocre', 'unconvincing', 'unbelievable', 'unimpressive', 'annoying', 'irritating', 'painful', 'tiresome', 'tedious', 'dragging', 'flat', 'unappealing', 'unengaging', 'unentertaining', 'poorly-done', 'poorly-crafted', 'poorly-acted', 'poorly-written', 'poorly-directed', 'avoid']

        positive_count = sum([1 for word in positive_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])
        negative_count = sum([1 for word in negative_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])

        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1e-6)
        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_19	SUCCEEDED	0_succeeded	0.7657	0.8251222903647978	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'astonishing', 'amazing', 'wonderful', 'great', 'fantastic', 'superb', 'highly', 'recommended', 'best', 'love', 'favorite', 'enjoy', 'good', 'happy', 'beautiful', 'brilliant', 'incredible', 'perfect', 'masterpiece']
        negative_words = ['awful', 'terrible', 'horrible', 'worst', 'boring', 'waste', 'disappointing', 'poor', 'bad', 'lame', 'ridiculous', 'stupid', 'dumb', 'garbage', 'trash', 'disgusting', 'unwatchable', 'forgettable', 'annoying', 'painful', 'unbearable']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        # Calculate the probability of the target being 1 based on the counts of positive and negative words
        if positive_count + negative_count == 0:
            y = 0.5
        else:
            y = positive_count / (positive_count + negative_count)

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_6	SUCCEEDED	0_succeeded	0.738	0.8156461272648776	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'amazing', 'great', 'wonderful', 'best', 'love', 'good', 'enjoy', 'favorite', 'beautiful']
        negative_words = ['awful', 'terrible', 'worst', 'boring', 'disappointing', 'bad', 'hate', 'annoying', 'waste', 'poor']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        # Calculate the sentiment score
        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1)

        # Normalize the sentiment score to a probability value between 0 and 1
        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_15	SUCCEEDED	0_succeeded	0.738	0.8156461272648776	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'amazing', 'great', 'wonderful', 'best', 'love', 'good', 'enjoy', 'favorite', 'beautiful']
        negative_words = ['awful', 'terrible', 'worst', 'boring', 'disappointing', 'bad', 'hate', 'annoying', 'waste', 'poor']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        # Calculate the sentiment score
        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1)

        # Normalize the sentiment score to a probability value between 0 and 1
        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_5	SUCCEEDED	0_succeeded	0.7345	0.8127997913230525	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'amazing', 'great', 'wonderful', 'best', 'love', 'good', 'favorite', 'enjoy', 'beautiful']
        negative_words = ['awful', 'terrible', 'worst', 'boring', 'disappointing', 'bad', 'hate', 'poor', 'waste', 'ugly']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        # Calculate the sentiment score
        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1)

        # Normalize the sentiment score to a probability value between 0 and 1
        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_23	SUCCEEDED	0_succeeded	0.7096	0.8127418529347432	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'astonishing', 'amazing', 'wonderful', 'great', 'good', 'love', 'like', 'enjoy', 'favorite', 'best', 'recommend', 'beautiful', 'happy', 'interesting', 'fun', 'memorable', 'charming', 'superb', 'perfect', 'masterpiece']
        negative_words = ['awful', 'terrible', 'horrible', 'bad', 'hate', 'dislike', 'boring', 'worst', 'disappointing', 'poor', 'lousy', 'ridiculous', 'stupid', 'waste', 'lame', 'forgettable', 'annoying', 'dull', 'predictable', 'uninteresting']

        positive_count = sum([1 for word in positive_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])
        negative_count = sum([1 for word in negative_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])

        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1e-6)

        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_20	SUCCEEDED	0_succeeded	0.738	0.8085187564815587	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'amazing', 'great', 'wonderful', 'best', 'love', 'good', 'enjoy', 'favorite', 'beautiful']
        negative_words = ['awful', 'terrible', 'worst', 'boring', 'disappointing', 'bad', 'hate', 'annoying', 'waste', 'poor']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        sentiment_score = positive_count - negative_count

        # Normalize the sentiment score to a probability value between 0 and 1
        y = 1 / (1 + np.exp(-sentiment_score))

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_11	SUCCEEDED	0_succeeded	0.7432	0.8080917257761557	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'astonishing', 'amazing', 'wonderful', 'great', 'good', 'love', 'best', 'favorite', 'recommend', 'enjoy', 'beautiful', 'charming', 'happy', 'fun', 'interesting', 'moving', 'insightful', 'riveting', 'captivating', 'powerful', 'memorable', 'heart']
        negative_words = ['awful', 'terrible', 'horrible', 'bad', 'worst', 'hate', 'disappointing', 'boring', 'dull', 'stupid', 'ridiculous', 'lame', 'predictable', 'forgettable', 'waste', 'annoying', 'uninteresting', 'uninspired', 'pointless', 'weak', 'poor', 'painful', 'insulting']

        positive_count = sum([1 for word in positive_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])
        negative_count = sum([1 for word in negative_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])

        if positive_count + negative_count == 0:
            y = 0.5
        else:
            y = positive_count / (positive_count + negative_count)

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_3	SUCCEEDED	0_succeeded	0.7418	0.8075368240762895	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'astonishing', 'amazing', 'wonderful', 'great', 'good', 'love', 'best', 'favorite', 'recommend', 'enjoy', 'beautiful', 'charming', 'happy', 'fun', 'interesting', 'memorable', 'insightful', 'riveting', 'captivating', 'powerful', 'moving', 'heart']
        negative_words = ['awful', 'terrible', 'horrible', 'worst', 'boring', 'dull', 'disappointing', 'waste', 'forgettable', 'uninteresting', 'poor', 'bad', 'lame', 'ridiculous', 'stupid', 'annoying', 'painful', 'unpleasant', 'uninspired', 'predictable', 'cliché', 'weak', 'insulting']

        positive_count = sum([1 for word in positive_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])
        negative_count = sum([1 for word in negative_words if re.search(r'\b' + word + r'\b', text, re.IGNORECASE)])

        if positive_count + negative_count == 0:
            y = 0.5
        else:
            y = positive_count / (positive_count + negative_count)

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
		text_14	SUCCEEDED	0_succeeded	0.7279	0.8047020655524371	"import numpy as np
import re

def predict(x):
    df = x.copy()
    output = []
    for index, row in df.iterrows():
        # Do not change the code before this point.
        # Please describe the process required to make the prediction below.

        text = row['text']
        positive_words = ['excellent', 'amazing', 'great', 'wonderful', 'best', 'love', 'good', 'favorite', 'enjoy', 'beautiful']
        negative_words = ['awful', 'terrible', 'worst', 'boring', 'disappointing', 'bad', 'hate', 'annoying', 'ugly', 'poor']

        positive_count = sum([1 for word in positive_words if word in text.lower()])
        negative_count = sum([1 for word in negative_words if word in text.lower()])

        # Calculate the sentiment score
        sentiment_score = (positive_count - negative_count) / (positive_count + negative_count + 1)

        # Normalize the sentiment score to a probability value between 0 and 1
        y = (sentiment_score + 1) / 2

        # Do not change the code after this point.
        output.append(y)
    return np.array(output)"
