seed	train_num	n_trials	0_succeeded	1_import_error	2_predict_method_error	3_invalid_pred_value
3655	6	30	9	21	0	0
3655	8	30	22	8	0	0
3655	10	30	22	8	0	0
3655	20	30	17	13	0	0
3655	30	30	26	0	2	2
3655	40	30	24	0	1	5
3655	50	30	18	0	3	9
3656	6	30	11	19	0	0
3656	8	30	16	14	0	0
3656	10	30	26	4	0	0
3656	20	30	23	6	0	1
3656	30	30	25	0	0	5
3656	40	30	27	0	1	2
3656	50	30	18	0	5	7
3657	6	30	5	25	0	0
3657	8	30	19	11	0	0
3657	10	30	19	11	0	0
3657	20	30	26	2	0	2
3657	30	30	28	0	0	2
3657	40	30	28	0	0	2
3657	50	30	18	0	1	11
