seed	train_num	n_trials	n_succeeses	acc_mean	acc_min	acc_max	auc_mean	auc_min	auc_max
3655	6	30	9	0.7477777777777779	0.6467	0.8167	0.8130723315908502	0.6433576433576433	0.9543829543829545
3655	8	30	22	0.6927318181818182	0.4233	0.7933	0.6779008445675112	0.5559130559130558	0.8534248534248534
3655	10	30	22	0.7134909090909091	0.47	0.75	0.7218268051601385	0.5559130559130558	0.8534248534248534
3655	20	30	17	0.7098176470588236	0.6667	0.7933	0.7096213860919743	0.5784355784355785	0.8252538252538253
3655	30	30	26	0.6669423076923077	0.37	0.8167	0.6823444323444323	0.5784355784355785	0.8042089708756375
3655	40	30	24	0.6968041666666666	0.3767	0.8667	0.7710746460746462	0.674198007531341	0.9739263072596406
3655	50	30	18	0.62945	0.3767	0.79	0.7449791060902171	0.6716478383145049	0.8784498784498784
3656	6	30	11	0.7506181818181819	0.7267	0.85	0.6774486122081597	0.5842594463527986	0.8242826833703779
3656	8	30	16	0.74459375	0.7	0.8033	0.6780457541927662	0.5842594463527986	0.8282986461911497
3656	10	30	26	0.7430769230769231	0.7067	0.7933	0.7125613954645071	0.5842594463527986	0.8238785613255204
3656	20	30	23	0.7356565217391305	0.7033	0.82	0.7386549324852628	0.5842594463527986	0.8070064659527176
3656	30	30	25	0.68828	0.3267	0.7967	0.7612608607799555	0.6388916952919782	0.8316579106890282
3656	40	30	27	0.7322185185185185	0.3267	0.8133	0.7779124851260636	0.6388916952919782	0.8307738937159023
3656	50	30	18	0.6353722222222222	0.3267	0.8367	0.7658210974158641	0.6388916952919782	0.9454940391998383
3657	6	30	5	0.74398	0.71	0.7633	0.7314488165234435	0.563169003467511	0.8394391677973768
3657	8	30	19	0.7256052631578948	0.7	0.7633	0.6930472570692524	0.5757575757575758	0.8394391677973768
3657	10	30	19	0.7384105263157895	0.65	0.8333	0.7198695517627175	0.5757575757575758	0.8394391677973768
3657	20	30	26	0.7369230769230769	0.6967	0.92	0.7469615790511314	0.5757575757575758	0.9704507764209257
3657	30	30	28	0.6689214285714286	0.3433	0.8	0.7085325536818073	0.5757575757575758	0.8902708678828082
3657	40	30	28	0.7457142857142857	0.6367	0.84	0.804726368159204	0.5757575757575758	0.8946429468817528
3657	50	30	18	0.6655388888888889	0.3433	0.8033	0.7973390622644354	0.5757575757575758	0.9644203226292778
