Feature_1,Feature_2,target
1.342,-0.412,1
0.65,0.787,0
2.029,0.302,1
-0.854,0.369,0
0.532,-0.396,1
-0.998,0.186,0
0.021,0.333,1
-0.227,0.908,0
1.731,-0.241,1
-0.589,0.751,0
0.753,-0.613,1
0.543,0.837,0
1.957,0.304,1
0.536,0.768,0
1.209,-0.53,1
-0.929,-0.022,0
1.689,-0.229,1
-0.017,0.974,0
0.06,0.525,1
-0.391,0.92,0
0.731,-0.436,1
0.486,0.939,0
0.256,-0.106,1
-0.79,0.75,0
1.516,-0.398,1
0.138,0.972,0
0.749,-0.513,1
1.087,0.152,0
0.084,0.316,1
-0.905,0.409,0
1.643,-0.379,1
0.132,0.961,0
1.28,-0.498,1
0.846,0.711,0
1.998,0.356,1
0.768,0.729,0
0.986,-0.413,1
-0.888,0.615,0
0.095,0.099,1
0.957,0.126,0
1.878,0.06,1
-0.38,0.961,0
0.094,-0.052,1
0.726,0.537,0
1.56,-0.322,1
-0.715,0.677,0
0.582,-0.449,1
0.975,0.373,0
0.481,-0.398,1
-0.797,0.571,0
1.991,0.284,1
-0.76,0.726,0
0.091,0.222,1
0.09,0.921,0
0.985,-0.464,1
0.717,0.7,0
-0.008,0.469,1
0.672,0.711,0
2.011,0.462,1
-0.646,0.572,0
0.537,-0.407,1
-0.298,1.011,0
1.591,-0.253,1
0.477,0.835,0
0.558,-0.311,1
0.429,0.926,0
1.825,-0.107,1
-0.345,0.907,0
1.289,-0.474,1
0.287,0.992,0
0.155,0.107,1
0.334,0.889,0
0.181,-0.078,1
0.802,0.651,0
0.64,-0.396,1
0.896,0.475,0
1.809,-0.166,1
-0.79,0.476,0
0.12,0.01,1
0.311,0.885,0
0.094,0.067,1
0.39,0.88,0
0.102,0.043,1
-1.033,0.184,0
1.178,-0.45,1
0.884,0.473,0
1.937,0.266,1
0.768,0.677,0
1.147,-0.452,1
-0.841,0.372,0
0.527,-0.379,1
-0.806,0.578,0
0.88,-0.47,1
0.345,0.799,0
1.956,0.16,1
-0.66,0.788,0
-0.022,0.499,1
-0.881,0.164,0
0.09,0.165,1
1.007,0.151,0
0.016,0.237,1
-0.176,0.989,0
1.808,-0.087,1
1.038,0.081,0
0.713,-0.48,1
-0.794,0.531,0
0.218,-0.059,1
-0.189,0.985,0
1.7,-0.16,1
-0.063,0.935,0
1.558,-0.283,1
-0.981,0.32,0
0.433,-0.286,1
-1.008,0.143,0
0.877,-0.511,1
-0.117,0.986,0
1.979,0.323,1
0.997,0.139,0
1.19,-0.311,1
0.821,0.62,0
0.185,-0.164,1
0.875,0.397,0
0.355,-0.374,1
1.111,0.049,0
1.975,0.268,1
-1.036,0.131,0
1.611,-0.266,1
1.051,0.07,0
0.663,-0.401,1
-0.004,0.929,0
0.075,0.317,1
-0.341,0.858,0
0.366,-0.366,1
-0.473,0.9,0
1.976,0.308,1
0.88,0.555,0
1.463,-0.274,1
-0.134,0.988,0
0.034,0.251,1
-0.032,0.923,0
0.205,-0.024,1
-0.586,0.73,0
-0.071,0.34,1
-1.008,0.345,0
0.731,-0.436,1
-0.009,1.011,0
0.79,-0.499,1
1.005,0.02,0
-0.061,0.476,1
0.04,0.938,0
0.879,-0.541,1
0.212,0.89,0
2.062,0.436,1
0.821,0.661,0
1.694,-0.308,1
-0.941,0.372,0
1.419,-0.424,1
-1.001,0.1,0
0.001,0.413,1
0.745,0.693,0
0.852,-0.547,1
0.934,0.291,0
0.189,0.009,1
0.953,0.115,0
0.348,-0.333,1
0.33,0.919,0
2.036,0.422,1
0.938,0.098,0
1.98,0.483,1
-0.584,0.912,0
0.078,0.146,1
-0.699,0.738,0
2.032,0.474,1
-0.486,0.87,0
1.984,0.172,1
0.738,0.541,0
1.803,-0.087,1
0.191,1.042,0
1.916,0.077,1
0.113,0.992,0
0.856,-0.483,1
-0.63,0.714,0
0.658,-0.389,1
-0.223,1.043,0
1.872,-0.074,1
-0.809,0.489,0
0.026,0.239,1
-0.663,0.759,0
0.26,-0.188,1
-1.001,0.336,0
0.063,0.281,1
-0.538,0.953,0
2.067,0.461,1
-0.969,0.099,0
0.667,-0.448,1
0.329,0.999,0
1.87,0.023,1
0.748,0.505,0
1.466,-0.368,1
-0.731,0.523,0
1.986,-0.006,1
-0.98,0.175,0
1.663,-0.254,1
0.981,0.062,0
0.227,-0.018,1
0.054,0.978,0
1.625,-0.284,1
0.792,0.454,0
1.685,-0.141,1
0.901,0.286,0
1.481,-0.383,1
-0.716,0.481,0
1.942,0.164,1
-0.919,0.351,0
1.539,-0.245,1
-0.117,1.049,0
0.09,-0.024,1
-0.34,0.818,0
0.403,-0.306,1
-0.633,0.84,0
1.346,-0.439,1
0.641,0.824,0
0.219,0.04,1
0.425,0.927,0
1.032,-0.485,1
0.17,1.009,0
1.805,-0.071,1
-1.041,-0.089,0
0.803,-0.518,1
-0.919,0.411,0
1.683,-0.208,1
0.267,0.98,0
1.407,-0.293,1
-0.985,0.326,0
0.73,-0.528,1
-0.437,0.849,0
0.707,-0.467,1
0.851,0.38,0
0.153,0.098,1
0.27,0.974,0
1.783,-0.286,1
-0.042,0.922,0
1.747,0.037,1
0.959,0.11,0
1.774,-0.149,1
-0.789,0.653,0
1.599,-0.267,1
-0.013,1.083,0
1.849,0.03,1
0.673,0.567,0
0.096,0.254,1
0.791,0.602,0
0.706,-0.44,1
0.641,0.704,0
0.051,0.408,1
0.626,0.814,0
0.633,-0.388,1
-0.918,0.475,0
0.143,-0.128,1
-0.973,0.327,0
0.241,-0.083,1
1.019,0.052,0
0.426,-0.357,1
0.964,0.403,0
1.1,-0.48,1
-0.449,0.857,0
1.504,-0.387,1
0.857,0.625,0
1.535,-0.34,1
-0.761,0.749,0
0.191,0.017,1
-0.626,0.667,0
1.007,-0.513,1
-0.513,0.867,0
0.049,0.262,1
0.017,1.033,0
0.968,-0.455,1
-0.082,1.016,0
0.03,0.421,1
0.568,0.749,0
-0.08,0.339,1
-1.004,0.294,0
1.373,-0.473,1
-0.924,0.537,0
0.874,-0.451,1
1.012,0.249,0
1.69,-0.237,1
0.394,0.867,0
2.097,0.284,1
-1.023,0.149,0
0.12,0.023,1
-1.075,-0.01,0
0.528,-0.33,1
0.686,0.748,0
0.03,0.171,1
0.953,0.476,0
0.828,-0.442,1
-0.685,0.713,0
1.563,-0.318,1
0.894,0.383,0
