a,b,c,d,target
0.65,0.66,2.23,1.39,1
0.05,-0.43,-1.06,-1.02,0
-1.72,0.17,-1.02,0.84,1
-0.76,-0.32,-1.47,-0.57,0
-1.69,0.75,0.48,2.2,1
-0.15,-0.56,-1.56,-1.28,0
1.24,0.18,1.52,0.12,1
1.14,0.07,1.16,-0.12,0
-0.42,0.62,1.22,1.57,1
2.33,0.0,1.98,-0.59,0
-2.22,0.12,-1.57,0.86,1
-0.79,-0.49,-1.94,-0.97,0
-1.09,0.59,0.6,1.69,1
0.22,-0.37,-0.76,-0.93,0
-1.98,-0.23,-2.27,-0.04,1
2.34,-0.95,-0.45,-2.84,0
-1.86,0.52,-0.25,1.7,1
0.14,-0.7,-1.67,-1.69,0
-1.56,0.31,-0.51,1.14,1
3.75,-0.97,0.7,-3.25,0
-1.47,0.59,0.27,1.77,1
0.71,-0.39,-0.41,-1.12,0
-0.42,0.63,1.25,1.59,1
2.27,-0.37,0.98,-1.45,0
-2.13,-0.12,-2.12,0.25,1
1.06,-0.3,0.14,-0.98,0
-1.76,0.12,-1.18,0.73,1
1.41,-0.11,0.92,-0.61,0
1.28,0.25,1.74,0.27,1
2.71,-0.59,0.79,-2.08,0
-1.68,0.24,-0.8,1.01,1
2.06,-0.76,-0.21,-2.34,0
3.44,-0.08,2.7,-1.08,1
2.65,-0.75,0.33,-2.45,0
-2.12,-0.23,-2.39,-0.01,1
-0.07,-0.35,-0.97,-0.82,0
0.78,0.34,1.53,0.6,1
3.52,-0.74,1.08,-2.66,0
-1.65,0.79,0.64,2.3,1
-0.17,-0.45,-1.29,-1.01,0
0.62,0.28,1.26,0.51,1
3.14,-0.93,0.28,-3.0,0
0.03,0.28,0.76,0.67,1
1.23,0.27,1.74,0.33,0
-1.93,-0.08,-1.83,0.32,1
0.48,-0.03,0.33,-0.2,0
-2.01,-0.18,-2.15,0.1,1
-0.83,0.55,0.7,1.5,0
-2.07,-0.14,-2.12,0.19,1
0.02,-0.28,-0.69,-0.66,0
3.43,-0.18,2.45,-1.3,1
-0.22,-0.35,-1.07,-0.76,0
-2.65,0.69,-0.48,2.31,1
2.88,-0.23,1.85,-1.28,0
-0.38,0.51,0.99,1.3,1
1.59,-0.71,-0.49,-2.1,0
-1.99,-0.06,-1.84,0.37,1
3.38,-0.46,1.68,-1.95,0
-1.98,0.12,-1.36,0.8,1
-0.02,-0.35,-0.91,-0.82,0
2.4,0.48,3.27,0.53,1
0.71,-0.04,0.5,-0.28,0
