a,b,c,d,target
1.14,-1.32,-1.92,1.8,1
0.29,-0.55,-0.63,0.33,1
0.33,-0.8,-0.84,0.25,1
0.13,1.03,0.59,0.96,1
0.01,1.18,0.79,0.77,1
0.88,-1.15,-1.57,1.3,1
0.55,-0.69,-0.96,0.85,1
0.44,0.3,-0.19,1.2,1
-0.19,2.04,1.57,0.84,1
0.23,0.61,0.21,0.93,1
-0.15,1.88,1.42,0.83,1
0.77,-1.03,-1.39,1.11,1
0.84,-1.32,-1.65,1.1,1
0.37,-0.98,-1.0,0.23,1
0.32,0.2,-0.14,0.86,1
0.38,1.09,0.41,1.56,1
0.28,0.48,0.07,0.95,1
0.15,0.86,0.46,0.9,1
0.97,-1.13,-1.64,1.52,1
0.83,-1.28,-1.61,1.11,1
0.13,1.07,0.62,0.98,1
0.09,0.95,0.57,0.81,1
0.69,-0.72,-1.11,1.13,1
0.96,-1.43,-1.83,1.3,1
0.25,0.03,-0.2,0.59,1
0.77,-1.16,-1.48,1.05,1
0.69,-0.97,-1.28,0.98,1
1.07,-1.07,-1.69,1.8,1
0.28,-0.54,-0.62,0.3,1
1.18,-1.24,-1.9,1.95,1
0.18,1.2,0.66,1.18,1
0.55,-1.08,-1.23,0.6,1
-0.29,1.98,1.61,0.58,1
0.02,1.5,1.01,1.0,1
0.43,0.11,-0.3,1.06,1
0.73,-1.3,-1.54,0.86,1
0.57,-0.7,-0.99,0.88,1
-0.25,2.49,1.92,1.0,1
0.69,-1.05,-1.33,0.93,1
0.26,0.69,0.24,1.05,1
0.38,-0.93,-0.97,0.28,1
-0.16,2.18,1.63,1.01,1
0.54,-1.01,-1.17,0.61,1
0.64,-0.75,-1.08,0.99,1
0.15,1.23,0.71,1.13,1
0.29,-0.85,-0.85,0.14,1
0.31,0.8,0.28,1.21,1
0.43,-0.97,-1.04,0.37,1
-0.19,2.59,1.94,1.2,1
0.35,0.51,0.04,1.12,1
0.81,-1.17,-1.52,1.12,1
0.22,0.85,0.38,1.04,1
0.25,-0.66,-0.67,0.16,1
-0.15,2.34,1.73,1.13,1
0.7,-0.87,-1.21,1.06,1
0.78,-0.73,-1.19,1.33,1
0.43,0.05,-0.35,1.02,1
0.46,-0.96,-1.06,0.46,1
-0.01,1.46,1.0,0.91,1
0.13,1.35,0.81,1.14,1
0.79,-0.92,-1.33,1.25,1
0.2,0.91,0.44,1.03,1
0.33,-0.53,-0.66,0.44,1
-0.13,1.85,1.38,0.87,1
0.28,0.53,0.11,0.99,1
0.49,-0.58,-0.84,0.78,1
0.65,-0.75,-1.09,1.03,1
0.61,-0.94,-1.19,0.82,1
0.76,-1.27,-1.54,0.95,1
0.58,-0.29,-0.72,1.16,1
0.72,-1.26,-1.5,0.86,1
0.86,-1.2,-1.59,1.24,1
-0.08,1.89,1.36,1.02,1
0.52,-0.82,-1.02,0.69,1
0.25,0.66,0.23,0.99,1
0.7,-1.05,-1.34,0.95,1
0.61,-0.9,-1.15,0.83,1
0.44,-1.11,-1.15,0.31,1
0.54,-0.72,-0.98,0.79,1
0.07,1.69,1.09,1.22,1
0.81,-1.1,-1.48,1.18,1
1.11,-1.0,-1.67,1.93,1
0.01,1.11,0.75,0.72,1
0.19,1.4,0.79,1.31,1
0.01,-0.65,-0.45,-0.4,1
0.79,-1.05,-1.42,1.15,1
0.89,-0.85,-1.37,1.52,1
0.71,-1.23,-1.47,0.87,1
0.77,-1.3,-1.58,0.97,1
0.35,-0.7,-0.79,0.37,1
0.66,-1.11,-1.35,0.83,1
0.31,0.78,0.26,1.21,1
0.23,0.96,0.45,1.13,1
0.52,-0.05,-0.5,1.18,1
0.07,1.46,0.94,1.08,1
0.05,1.94,1.28,1.34,1
0.61,-0.79,-1.08,0.91,1
0.59,-0.95,-1.17,0.75,1
-0.02,1.63,1.14,0.98,1
-0.16,1.91,1.45,0.84,1
0.92,-1.09,-1.57,1.44,1
0.85,-1.37,-1.7,1.1,1
0.79,-0.93,-1.34,1.24,1
0.75,-0.89,-1.28,1.17,1
0.63,-1.06,-1.28,0.79,1
0.89,-1.11,-1.56,1.36,1
0.41,0.27,-0.18,1.12,1
1.12,-1.53,-2.04,1.61,1
0.61,-1.57,-1.62,0.42,1
0.67,-0.96,-1.25,0.93,1
0.09,1.43,0.89,1.12,1
-0.06,1.52,1.09,0.81,1
0.1,1.21,0.74,0.99,1
0.4,0.01,-0.35,0.93,1
0.57,-0.83,-1.07,0.79,1
0.18,1.0,0.52,1.06,1
0.66,-0.75,-1.1,1.06,1
1.08,-1.13,-1.74,1.79,1
0.86,-1.16,-1.56,1.25,1
0.6,-0.32,-0.75,1.18,1
0.56,-0.37,-0.76,1.07,1
0.7,-1.17,-1.42,0.87,1
-0.22,2.46,1.87,1.05,1
0.17,0.98,0.52,1.0,1
0.49,-0.26,-0.61,0.97,1
0.14,1.0,0.56,0.95,1
1.17,-1.17,-1.84,1.97,1
0.51,0.11,-0.38,1.25,1
0.61,-0.96,-1.21,0.81,1
0.61,-1.12,-1.31,0.7,1
0.74,-0.84,-1.23,1.18,1
0.79,-0.79,-1.25,1.33,1
0.91,-1.27,-1.68,1.3,1
0.15,1.15,0.65,1.08,1
