A,B,C,D,E,F,G,H,I,J,K,L,M
-0.97,-1.14,-1.17,-0.33,-0.84,-0.76,-1.36,-0.32,-0.22,-0.04,0.04,0.28,0
0.74,-1.1,0.06,0.87,-0.82,0.62,1.06,1.02,-1.27,-0.32,-0.02,0.03,1
1.26,0.44,0.06,0.31,-1.13,-0.53,1.14,0.62,0.11,-1.26,-0.54,0.44,0
0.18,0.28,-0.26,-2.29,-0.18,1.2,0.69,-1.26,-0.7,2.79,0.33,0.63,1
1.37,-2.36,-0.72,0.25,-0.16,-2.67,0.36,-0.81,1.13,-1.24,-1.26,-0.41,0
0.64,-0.18,1.19,0.61,0.6,0.99,1.1,-0.81,0.58,-0.28,0.13,0.59,1
0.56,0.15,-1.24,0.46,-0.4,0.97,1.01,1.96,0.02,-0.11,0.15,1.29,1
1.38,-1.2,1.35,1.44,-0.42,-1.22,0.98,0.34,0.48,1.58,-0.8,-0.15,0
1.29,0.46,0.27,-0.39,0.55,-1.47,0.78,1.01,-1.02,-1.2,-0.85,0.24,0
1.28,-0.04,0.37,1.66,-0.08,-0.59,1.14,-0.13,0.34,-0.81,-0.57,-2.17,0
0.82,2.28,-0.47,0.05,-0.61,1.31,1.42,0.15,0.29,-0.8,0.18,1.44,1
0.23,1.64,1.88,-1.52,0.69,0.99,0.66,0.49,1.85,0.09,0.25,1.46,1
-0.88,0.12,0.13,2.04,0.92,1.12,-0.48,-0.29,-0.36,-1.12,0.62,-0.28,1
0.18,-0.48,-0.71,-0.48,0.79,0.69,0.48,1.06,-0.35,-0.49,0.17,-1.42,1
3.4,-0.68,2.4,1.44,1.72,0.7,3.95,0.36,-0.6,1.56,-0.78,-3.22,1
0.43,-0.68,-1.86,-0.18,0.18,-1.48,-0.15,1.13,0.49,0.9,-0.6,-1.04,0
1.19,-1.0,0.76,-1.71,-2.99,0.0,1.28,-0.13,0.81,0.31,-0.35,0.18,0
-1.2,-1.99,0.67,-0.02,0.84,-0.8,-1.63,0.41,-1.0,-0.58,0.1,-0.18,0
-1.7,-0.84,0.52,0.41,0.93,1.3,-1.29,-1.33,0.25,0.01,0.92,0.96,1
-1.18,-0.3,-0.69,-0.84,-0.77,1.03,-0.85,1.23,1.31,-0.66,0.68,0.01,1
-0.44,-0.6,-1.78,-0.01,2.13,-0.96,-0.87,0.4,0.07,-0.31,-0.18,-0.66,0
1.34,-0.85,-0.37,1.08,-0.32,-1.89,0.65,0.38,-0.47,-1.74,-1.0,0.29,0
-0.11,1.25,-0.68,-0.53,0.87,-1.22,-0.62,-0.03,-0.65,-0.89,-0.36,-0.12,0
-0.3,-1.07,-1.63,0.29,0.02,-0.67,-0.61,-0.36,0.53,0.49,-0.13,-0.51,0
-1.28,-2.17,-1.02,-1.35,-1.73,-0.35,-1.53,-0.74,-1.63,2.07,0.27,-0.62,0
-0.19,-0.04,0.96,-0.18,0.03,0.82,0.14,-0.65,1.24,-1.42,0.32,-0.52,1
0.8,1.32,0.16,0.18,0.5,-1.66,0.18,0.42,-0.1,-0.92,-0.77,-0.34,0
0.72,1.9,1.2,0.63,1.23,0.98,1.18,-1.86,0.46,-0.7,0.1,-1.47,0
-1.01,-2.25,0.59,-0.11,0.52,1.08,-0.64,0.82,-0.26,0.05,0.64,0.58,1
-1.54,1.21,-0.44,-2.21,0.44,0.95,-1.27,1.12,0.5,1.08,0.76,0.1,1
1.37,1.91,-0.95,0.32,1.27,-1.66,0.78,0.7,0.26,-1.65,-0.93,-0.16,0
-0.07,0.77,0.58,-0.89,-0.34,1.05,0.37,-0.73,-1.31,0.0,0.36,-2.97,1
0.43,-0.27,-0.75,-0.54,-0.08,0.96,0.86,0.15,1.23,0.23,0.18,0.37,1
-0.84,1.27,-0.01,-0.56,0.01,0.9,-0.53,0.03,1.17,-1.58,0.53,1.13,1
0.11,-0.04,-0.74,-0.16,-0.95,0.91,0.49,1.28,1.12,0.56,0.26,-0.86,1
